instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
1,networks,.,,,,,,,,,0,0,0,0.5364,0.5364,0.5364,,tw-limprovement,jdrasil-b50-n1,0.0,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,0.5632,0.5632,0.5632,,tw-limprovement,jdrasil-b75-n1,0.0,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,0.589,0.589,0.589,,tw-limprovement,jdrasil-b25-n1,0.0,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,0.6264,0.6264,0.6264,,tw-limprovement,tcs-b50-n1,0.0,0.0,-w 1800 -b 50 -r 10,,0.0
1,networks,.,,,,,,,,,0,0,0,0.6424,0.6424,0.6424,,tw-limprovement,tcs-b100-n1,0.0,0.0,-w 1800 -b 100 -r 10,,0.0
1,networks,.,,,,,,,,,0,0,0,0.7217,0.7217,0.7217,,tw-limprovement,htd-b100-n1,0.0,0.0,-w 1800 -b 100 -r 10 -s htd_main,,0.0
1,networks,.,,,,,,,,,0,0,0,0.7401,0.7401,0.7401,,tw-limprovement,tcs-b75-n1,0.0,0.0,-w 1800 -b 75 -r 10,,0.0
1,networks,.,,,,,,,,,0,0,0,0.7446,0.7446,0.7446,,tw-limprovement,jdrasil-b150-n1,0.0,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,0.7492,0.7492,0.7492,,tw-limprovement,htd-b150-n1,0.0,0.0,-w 1800 -b 150 -r 10 -s htd_main,,0.0
1,networks,.,,,,,,,,,0,0,0,0.7687,0.7687,0.7687,,tw-limprovement,jdrasil-b100-n1,0.0,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,0.7937,0.7937,0.7937,,tw-limprovement,jdrasil-b125-n1,0.0,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,0.8115,0.8115,0.8115,,tw-limprovement,tcs-b150-n1,0.0,0.0,-w 1800 -b 150 -r 10,,0.0
1,networks,.,,,,,,,,,0,0,0,0.8142,0.8142,0.8142,,tw-limprovement,tcs-b125-n1,0.0,0.0,-w 1800 -b 125 -r 10,,0.0
1,networks,.,,,,,,,,,0,0,0,0.8843,0.8843,0.8843,,tw-limprovement,jdrasil-b75t1800-n1,0.0,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",,0.0
1,networks,.,,,,,,,,,0,0,0,,,,,tw-limprovement,htd-b175-n1,0.0,0.0,-w 1800 -b 75 -r 10 -s htd_main,,0.0
1,networks,.,,,,,,,,,0,0,0,,,,,tw-limprovement,jdrasil-b75t90r40-n1,0.0,0.0,"-w 180 -b 100 -r 10 -s jdrasil -a '"" -log -t 90 -e PBLib_incremental ""'",,0.0
180,networks,atmost1000,34.9448275862,9.0,250.0,30.3639450185,38.0896551724,9.0,250.0,30.4580579653,106,456,10,989.705555556,7.7269,7200.12,1968.8485483,tw-limprovement,jdrasil-b75t1800-n1,7199.4883,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1981.67424372,912.703515
