instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
count,,,count_nonzero,sum,amax,mean,amin,amax,std,
1,networks,.,0,0,0,0.5364,0.5364,0.5364,,jdrasil-b50-n1
1,networks,.,0,0,0,0.5632,0.5632,0.5632,,jdrasil-b75-n1
1,networks,.,0,0,0,0.589,0.589,0.589,,jdrasil-b25-n1
1,networks,.,0,0,0,0.6264,0.6264,0.6264,,tcs-b50-n1
1,networks,.,0,0,0,0.6424,0.6424,0.6424,,tcs-b100-n1
1,networks,.,0,0,0,0.7217,0.7217,0.7217,,htd-b100-n1
1,networks,.,0,0,0,0.7401,0.7401,0.7401,,tcs-b75-n1
1,networks,.,0,0,0,0.7446,0.7446,0.7446,,jdrasil-b150-n1
1,networks,.,0,0,0,0.7492,0.7492,0.7492,,htd-b150-n1
1,networks,.,0,0,0,0.7687,0.7687,0.7687,,jdrasil-b100-n1
1,networks,.,0,0,0,0.7937,0.7937,0.7937,,jdrasil-b125-n1
1,networks,.,0,0,0,0.8115,0.8115,0.8115,,tcs-b150-n1
1,networks,.,0,0,0,0.8142,0.8142,0.8142,,tcs-b125-n1
1,networks,.,0,0,0,0.8843,0.8843,0.8843,,jdrasil-b75t1800-n1
1,networks,.,0,0,0,,,,,htd-b175-n1
1,networks,.,0,0,0,,,,,jdrasil-b75t90r40-n1
180,networks,atmost1000,106,456,10,989.705555556,7.7269,7200.12,1968.8485483,jdrasil-b75t1800-n1
180,networks,atmost1000,100,436,10,1101.94514944,6.8761,7200.14,2201.46386501,jdrasil-b100-n1
180,networks,atmost1000,107,357,9,66.73086,9.4463,326.584,45.6385425571,jdrasil-b75-n1
180,networks,atmost1000,79,345,12,3002.82643,6.8728,7200.33,3181.67851663,jdrasil-b125-n1
180,networks,atmost1000,101,328,8,73.1505194444,4.1137,729.309,117.474199493,tcs-b75-n1
180,networks,atmost1000,82,295,10,2787.02118,4.6453,7200.1,3149.34009869,tcs-b100-n1
180,networks,atmost1000,58,198,10,4045.15979278,7.2858,7200.41,3368.5147646,jdrasil-b150-n1
180,networks,atmost1000,50,98,4,20.4222761111,7.7757,87.1764,8.85924892927,jdrasil-b50-n1
180,networks,atmost1000,51,90,9,5.30337666667,1.7257,50.7623,4.71705470402,htd-b150-n1
180,networks,atmost1000,37,76,7,4718.80901222,4.8269,7200.14,3278.44020099,tcs-b125-n1
180,networks,atmost1000,29,68,14,5051.38217389,4.5646,7200.11,3212.85752825,tcs-b150-n1
180,networks,atmost1000,42,66,4,18.1130611111,3.8488,360.653,34.1643235971,tcs-b50-n1
180,networks,atmost1000,34,55,4,5.64132722222,1.7932,50.2001,4.56832376709,htd-b100-n1
180,networks,atmost1000,2,2,1,14.8087255556,5.988,84.441,8.03227002277,jdrasil-b25-n1
180,networks,atmost1000,0,0,0,,,,,htd-b175-n1
180,networks,atmost1000,0,0,0,,,,,jdrasil-b75t90r40-n1
118,networks,atmost200,19,60,8,252.392733051,2.6213,7200.1,1307.08933357,tcs-b100-n1
118,networks,atmost200,20,53,5,66.8970754237,2.7334,7200.1,662.306706872,tcs-b75-n1
118,networks,atmost200,16,44,6,334.350516102,4.4326,7200.11,1455.89136689,jdrasil-b75t1800-n1
118,networks,atmost200,16,44,6,335.625973729,4.6221,7200.11,1455.79951424,jdrasil-b100-n1
118,networks,atmost200,17,44,6,378.649016102,2.5344,7200.11,1586.84753832,tcs-b125-n1
118,networks,atmost200,17,44,6,379.428812712,3.1116,7200.1,1586.89200196,tcs-b150-n1
118,networks,atmost200,15,39,5,257.467676271,5.0191,7200.12,1306.06023886,jdrasil-b75-n1
118,networks,atmost200,15,36,6,457.036188136,5.7954,7200.13,1706.63170276,jdrasil-b150-n1
118,networks,atmost200,15,36,6,457.145235593,5.2537,7200.12,1706.87913299,jdrasil-b125-n1
118,networks,atmost200,15,33,4,5.42003474576,2.3025,54.3919,5.58973783902,tcs-b50-n1
118,networks,atmost200,15,33,4,12.8152521368,5.7466,56.3166,5.23838418545,jdrasil-b50-n1
118,networks,atmost200,11,21,3,1.87086355932,0.9775,4.5168,0.522845771358,htd-b100-n1
118,networks,atmost200,11,20,3,1.89258898305,0.9701,3.6124,0.500167945774,htd-b150-n1
118,networks,atmost200,4,5,2,16.6075279661,3.8869,33.5075,6.42552523141,jdrasil-b25-n1
118,networks,atmost200,0,0,0,,,,,htd-b175-n1
118,networks,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
279,networks,atmost2000,96,602,16,3231.17666057,10.486,7200.38,3317.91366219,jdrasil-b125-n1
279,networks,atmost2000,115,578,13,1889.41119534,10.0096,7200.15,2952.96321935,jdrasil-b75t1800-n1
279,networks,atmost2000,76,558,20,4642.15520108,8.3054,7200.17,3183.66447057,jdrasil-b150-n1
279,networks,atmost2000,105,527,13,1971.97316093,12.8274,7200.15,3044.86600859,jdrasil-b100-n1
279,networks,atmost2000,141,526,15,1417.57987446,5.8847,7200.13,2210.77662038,tcs-b100-n1
279,networks,atmost2000,133,360,10,95.036897482,13.226,907.082,129.922604756,jdrasil-b75-n1
279,networks,atmost2000,122,288,11,394.408967742,5.9237,7200.2,1130.34924969,tcs-b75-n1
279,networks,atmost2000,66,201,19,4497.20143369,6.367,7200.18,3279.29054278,tcs-b125-n1
279,networks,atmost2000,56,138,11,5328.09122545,6.2172,7200.13,2989.04619956,tcs-b150-n1
279,networks,atmost2000,90,134,6,9.14219354839,3.5835,27.7129,3.78937981725,htd-b150-n1
279,networks,atmost2000,59,83,5,9.25953082437,3.1221,27.5185,3.40720391415,htd-b100-n1
279,networks,atmost2000,51,75,4,23.6617637993,10.5847,106.84,10.5489418062,jdrasil-b50-n1
279,networks,atmost2000,31,35,2,230.65378638,5.6124,7200.1,1153.24448052,tcs-b50-n1
279,networks,atmost2000,1,1,1,18.1331354839,8.7792,108.189,9.6373383728,jdrasil-b25-n1
279,networks,atmost2000,0,0,0,,,,,htd-b175-n1
279,networks,atmost2000,0,0,0,,,,,jdrasil-b75t90r40-n1
210,networks,atmost500,38,91,9,207.714423333,4.6001,7200.14,1099.00566565,jdrasil-b100-n1
210,networks,atmost500,38,91,9,236.71468,5.1223,7200.12,1199.08641002,jdrasil-b75t1800-n1
210,networks,atmost500,36,82,12,295.391378571,2.38,7200.1,1379.91730633,tcs-b100-n1
210,networks,atmost500,35,80,9,493.132025714,4.863,7200.15,1737.67250956,jdrasil-b150-n1
210,networks,atmost500,32,64,9,510.782188571,5.0458,7200.14,1794.85652579,jdrasil-b125-n1
210,networks,atmost500,38,63,4,21.8572952381,4.985,443.954,48.7802535021,jdrasil-b75-n1
210,networks,atmost500,30,63,12,714.663897619,2.7867,7200.13,2114.04535677,tcs-b125-n1
210,networks,atmost500,37,60,3,79.6833361905,2.2127,7200.1,700.244202338,tcs-b75-n1
210,networks,atmost500,28,48,6,839.966372857,2.9003,7200.12,2292.34951914,tcs-b150-n1
210,networks,atmost500,31,47,3,11.4122952381,5.0889,88.916,7.45602821149,jdrasil-b50-n1
210,networks,atmost500,24,34,2,41.2921766667,2.1979,7200.09,496.451511886,tcs-b50-n1
210,networks,atmost500,15,26,5,2.91541,1.3599,11.715,1.20806148103,htd-b150-n1
210,networks,atmost500,10,20,7,2.76601571429,1.4301,11.9077,1.16961727813,htd-b100-n1
210,networks,atmost500,2,2,1,7.08473904762,4.2399,30.6604,2.50873641526,jdrasil-b25-n1
210,networks,atmost500,0,0,0,,,,,htd-b175-n1
210,networks,atmost500,0,0,0,,,,,jdrasil-b75t90r40-n1
81,networks,atmost5000,55,147,6,258.336522222,16.0934,1743.74,319.815530254,jdrasil-b75t1800-n1
81,networks,atmost5000,55,146,6,254.748848148,16.0076,1810.23,320.025247516,jdrasil-b100-n1
81,networks,atmost5000,40,75,4,19.5822765432,11.4072,30.4158,4.5385823756,htd-b150-n1
81,networks,atmost5000,34,73,6,45.6187333333,15.8971,112.673,19.4438293118,jdrasil-b75-n1
81,networks,atmost5000,26,71,6,3170.2223963,37.7731,7200.13,3086.03420825,tcs-b100-n1
81,networks,atmost5000,36,63,5,19.743982716,11.9358,33.9097,4.78935819142,htd-b100-n1
81,networks,atmost5000,26,61,4,512.657341975,15.7949,7200.11,1441.92139412,tcs-b75-n1
81,networks,atmost5000,27,61,10,3830.26735802,16.0478,7200.19,3254.39809603,jdrasil-b125-n1
81,networks,atmost5000,11,23,6,4362.90912469,15.9328,7200.22,3097.27044818,tcs-b125-n1
81,networks,atmost5000,17,19,2,36.836817284,21.8804,101.554,11.9041865741,jdrasil-b50-n1
81,networks,atmost5000,9,9,1,488.402682716,17.7981,7200.12,1467.12633183,tcs-b50-n1
81,networks,atmost5000,1,2,2,5874.25280988,16.1148,7200.35,2798.59089024,jdrasil-b150-n1
81,networks,atmost5000,1,1,1,5582.59080988,16.0192,7200.14,2890.04583925,tcs-b150-n1
81,networks,atmost5000,0,0,0,32.8264469136,19.1262,99.851,12.7921066924,jdrasil-b25-n1
81,networks,atmost5000,0,0,0,,,,,htd-b175-n1
81,networks,atmost5000,0,0,0,,,,,jdrasil-b75t90r40-n1
153,networks,beyond5000,11,25,6,2018.41540784,52.3136,7200.18,3072.94451408,tcs-b100-n1
153,networks,beyond5000,4,4,1,70.2636,55.5215,105.947,12.1569525615,jdrasil-b50-n1
153,networks,beyond5000,0,0,0,17.4073137255,15.8308,57.976,4.38995910576,htd-b150-n1
153,networks,beyond5000,0,0,0,17.4274124183,15.8037,58.1993,4.4486970416,tcs-b75-n1
153,networks,beyond5000,0,0,0,17.4276522876,15.8162,58.39,4.40399949506,htd-b100-n1
153,networks,beyond5000,0,0,0,17.4921640523,15.8169,58.8822,4.37788787257,tcs-b125-n1
153,networks,beyond5000,0,0,0,17.553348366,15.902,60.0926,4.57508459029,tcs-b150-n1
153,networks,beyond5000,0,0,0,17.8080398693,15.8822,71.0497,5.68266201674,jdrasil-b125-n1
153,networks,beyond5000,0,0,0,17.8110745098,15.976,63.2863,5.15840810631,jdrasil-b100-n1
153,networks,beyond5000,0,0,0,17.8379137255,15.9598,66.3556,5.03285475207,jdrasil-b75t1800-n1
153,networks,beyond5000,0,0,0,17.8738810458,15.8492,66.7922,5.66709933186,jdrasil-b75-n1
153,networks,beyond5000,0,0,0,17.8846013072,15.9049,69.3725,5.25057584648,jdrasil-b150-n1
153,networks,beyond5000,0,0,0,70.0651320261,53.6715,101.991,12.3011405352,jdrasil-b25-n1
153,networks,beyond5000,0,0,0,441.179871895,51.9463,7200.19,1592.85263732,tcs-b50-n1
153,networks,beyond5000,0,0,0,,,,,htd-b175-n1
153,networks,beyond5000,0,0,0,,,,,jdrasil-b75t90r40-n1
2,pace2016,.,0,0,0,0.55655,0.5494,0.5637,0.010111626971,tcs-b75-n1
2,pace2016,.,0,0,0,0.56155,0.5333,0.5898,0.039951533137,tcs-b50-n1
2,pace2016,.,0,0,0,0.56325,0.5559,0.5706,0.0103944696834,htd-b150-n1
2,pace2016,.,0,0,0,0.57085,0.5505,0.5912,0.0287792459943,htd-b100-n1
2,pace2016,.,0,0,0,0.60265,0.5969,0.6084,0.00813172798365,jdrasil-b50-n1
2,pace2016,.,0,0,0,0.65145,0.6309,0.672,0.0290620887068,jdrasil-b125-n1
2,pace2016,.,0,0,0,0.68615,0.6846,0.6877,0.00219203102168,tcs-b125-n1
2,pace2016,.,0,0,0,0.736,0.5328,0.9392,0.287368195874,jdrasil-b25-n1
2,pace2016,.,0,0,0,0.7554,0.691,0.8198,0.0910753534168,tcs-b100-n1
2,pace2016,.,0,0,0,0.76745,0.6978,0.8371,0.0984999746193,tcs-b150-n1
2,pace2016,.,0,0,0,0.78915,0.7182,0.8601,0.10033845225,jdrasil-b75t1800-n1
2,pace2016,.,0,0,0,0.8382,0.5781,1.0983,0.367836947573,jdrasil-b100-n1
2,pace2016,.,0,0,0,0.89595,0.8896,0.9023,0.00898025612107,jdrasil-b150-n1
2,pace2016,.,0,0,0,1.1888,0.9231,1.4545,0.375756543523,jdrasil-b75-n1
2,pace2016,.,0,0,0,,,,,htd-b175-n1
2,pace2016,.,0,0,0,,,,,jdrasil-b75t90r40-n1
10,pace2016,atmost1000,3,14,10,228.73128,8.7586,1918.18,596.4577983,jdrasil-b100-n1
10,pace2016,atmost1000,3,14,10,414.26556,6.9478,3732.26,1167.513446,jdrasil-b75t1800-n1
10,pace2016,atmost1000,2,13,10,4193.11462,4.7923,7200.11,3585.99483123,tcs-b150-n1
10,pace2016,atmost1000,2,11,10,761.91697,8.2092,7200.13,2262.75337447,jdrasil-b125-n1
10,pace2016,atmost1000,1,3,3,1045.91977,4.0635,7200.1,2318.91436827,tcs-b100-n1
10,pace2016,atmost1000,1,3,3,2949.39294,4.7282,7200.11,3582.16226104,tcs-b125-n1
10,pace2016,atmost1000,1,2,2,5.30856,2.6864,9.5125,2.24131243903,htd-b150-n1
10,pace2016,atmost1000,1,2,2,2187.69178,6.8588,7200.14,3459.15212877,jdrasil-b150-n1
10,pace2016,atmost1000,0,0,0,5.17234,2.7263,9.0933,2.16576222005,htd-b100-n1
10,pace2016,atmost1000,0,0,0,11.6597,6.2708,20.1394,4.41794953696,jdrasil-b25-n1
10,pace2016,atmost1000,0,0,0,13.95653,8.263,20.5363,3.46785773451,jdrasil-b50-n1
10,pace2016,atmost1000,0,0,0,17.20669,8.8696,36.4937,8.34869609706,jdrasil-b75-n1
10,pace2016,atmost1000,0,0,0,738.95042,3.7849,7200.11,2270.29883084,tcs-b75-n1
10,pace2016,atmost1000,0,0,0,739.32398,3.9936,7200.09,2270.17239611,tcs-b50-n1
10,pace2016,atmost1000,0,0,0,,,,,htd-b175-n1
10,pace2016,atmost1000,0,0,0,,,,,jdrasil-b75t90r40-n1
54,pace2016,atmost200,12,39,11,553.314437037,1.6871,7200.11,1898.14027685,tcs-b150-n1
54,pace2016,atmost200,12,29,6,424.60557037,1.9783,7200.11,1659.85091337,tcs-b100-n1
