instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1a62_graph-pp.dimacs,twlib,atmost200,0,8.7475,1.0,jdrasil-b25-n1
1a62_graph-pp.dimacs,twlib,atmost200,0,,,htd-b175-n1
1a62_graph-pp.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3.0715,1.0,htd-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3.6484,1.0,htd-b100-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,9.2972,1.0,tcs-b125-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,9.5852,1.0,tcs-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,10.4068,1.0,tcs-b100-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,11.6396,1.0,tcs-b50-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,12.6033,1.0,tcs-b75-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,14.7933,1.0,jdrasil-b50-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,22.8941,1.0,jdrasil-b125-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,26.4686,1.0,jdrasil-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,26.7342,1.0,jdrasil-b75t1800-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,28.4372,1.0,jdrasil-b75-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,33.7933,1.0,jdrasil-b100-n1
1a62_graph.dimacs,twlib,atmost200,0,2.5717,1.0,htd-b100-n1
1a62_graph.dimacs,twlib,atmost200,0,2.7485,1.0,htd-b150-n1
1a62_graph.dimacs,twlib,atmost200,0,8.8588,1.0,jdrasil-b25-n1
1a62_graph.dimacs,twlib,atmost200,0,,,htd-b175-n1
1a62_graph.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1a62_graph.dimacs,twlib,atmost200,3,9.0726,1.0,tcs-b150-n1
1a62_graph.dimacs,twlib,atmost200,3,9.594,1.0,tcs-b125-n1
1a62_graph.dimacs,twlib,atmost200,3,10.6572,1.0,tcs-b100-n1
1a62_graph.dimacs,twlib,atmost200,3,10.8895,1.0,tcs-b75-n1
1a62_graph.dimacs,twlib,atmost200,3,11.0985,1.0,tcs-b50-n1
1a62_graph.dimacs,twlib,atmost200,3,32.5483,1.0,jdrasil-b50-n1
1a62_graph.dimacs,twlib,atmost200,3,40.0595,1.0,jdrasil-b75-n1
1a62_graph.dimacs,twlib,atmost200,3,40.8578,1.0,jdrasil-b150-n1
1a62_graph.dimacs,twlib,atmost200,3,43.5963,1.0,jdrasil-b100-n1
1a62_graph.dimacs,twlib,atmost200,3,43.6103,1.0,jdrasil-b125-n1
1a62_graph.dimacs,twlib,atmost200,3,44.2041,1.0,jdrasil-b75t1800-n1
1a6m.edge,networks,atmost200,0,1.5733,1.0,htd-b150-n1
1a6m.edge,networks,atmost200,0,1.8113,1.0,htd-b100-n1
1a6m.edge,networks,atmost200,0,9.8643,1.0,tcs-b50-n1
1a6m.edge,networks,atmost200,0,12.6198,1.0,jdrasil-b50-n1
1a6m.edge,networks,atmost200,0,19.3754,1.0,jdrasil-b25-n1
1a6m.edge,networks,atmost200,0,,,htd-b175-n1
1a6m.edge,networks,atmost200,0,,,jdrasil-b75t90r40-n1
1a6m.edge,networks,atmost200,3,10.8834,1.0,tcs-b75-n1
1a6m.edge,networks,atmost200,3,12.4437,1.0,tcs-b125-n1
1a6m.edge,networks,atmost200,3,12.5814,1.0,tcs-b100-n1
1a6m.edge,networks,atmost200,3,12.6319,1.0,tcs-b150-n1
1a6m.edge,networks,atmost200,3,79.2487,1.0,jdrasil-b75-n1
1a6m.edge,networks,atmost200,3,644.472,1.0,jdrasil-b75t1800-n1
1a6m.edge,networks,atmost200,3,662.648,1.0,jdrasil-b100-n1
1a6m.edge,networks,atmost200,3,695.208,1.0,jdrasil-b150-n1
1a6m.edge,networks,atmost200,3,703.205,1.0,jdrasil-b125-n1
1a8i.edge,networks,atmost1000,0,18.3318,1.0,htd-b100-n1
1a8i.edge,networks,atmost1000,0,28.4261,1.0,jdrasil-b50-n1
1a8i.edge,networks,atmost1000,0,29.6081,1.0,jdrasil-b25-n1
1a8i.edge,networks,atmost1000,0,40.6527,1.0,jdrasil-b100-n1
1a8i.edge,networks,atmost1000,0,41.2261,1.0,jdrasil-b75t1800-n1
1a8i.edge,networks,atmost1000,0,44.1417,1.0,jdrasil-b125-n1
1a8i.edge,networks,atmost1000,0,45.8066,1.0,jdrasil-b75-n1
1a8i.edge,networks,atmost1000,0,75.0624,1.0,tcs-b50-n1
1a8i.edge,networks,atmost1000,0,80.7263,1.0,tcs-b75-n1
