instance,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
count,count_nonzero,sum,amax,mean,amin,amax,std,
1946,667,2096,13,568.698437667,0.6376,7200.15,1729.93275529,jdrasil-b75t1800-n1
1946,647,2015,13,595.752526824,0.5348,7200.21,1804.54761287,jdrasil-b100-n1
1946,584,1984,16,1358.94815879,0.5806,7200.55,2636.52527758,jdrasil-b125-n1
1946,630,1805,15,1240.07811645,0.5699,7200.25,2460.31830293,tcs-b100-n1
1946,493,1676,20,1935.83142451,0.5746,7200.44,3064.46510469,jdrasil-b150-n1
1946,631,1548,12,76.1081662211,0.5237,7200.13,516.714892757,jdrasil-b75-n1
1946,609,1460,12,239.887747276,0.5292,7200.2,1103.94133627,tcs-b75-n1
1946,447,1077,19,2170.99305606,0.64,7200.24,3180.45391877,tcs-b125-n1
1946,368,822,14,2625.324039,0.6805,7200.3,3393.34417292,tcs-b150-n1
1946,349,559,8,33.0785833933,0.5364,7200.1,245.96067684,jdrasil-b50-n1
1946,325,538,9,10.8506617677,0.5559,7200.0,163.174175288,htd-b150-n1
1946,296,422,9,221.532349794,0.5333,7200.19,1120.67486266,tcs-b50-n1
1946,258,421,8,7.22044162384,0.5505,58.39,6.23082718546,htd-b100-n1
1946,35,37,2,24.5786338817,0.5328,7200.1,169.055321701,jdrasil-b25-n1
