instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
180,networks,atmost1000,34.9448275862,9.0,250.0,30.3639450185,38.0896551724,9.0,250.0,30.4580579653,106,456,10,989.705555556,7.7269,7200.12,1968.8485483,tw-limprovement,jdrasil-b75t1800-n1,7199.4883,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1981.67424372,912.703515
180,networks,atmost1000,34.9507042254,9.0,250.0,30.7017978231,38.0211267606,9.0,250.0,30.8357507145,100,436,10,1101.94514944,6.8761,7200.14,2201.46386501,tw-limprovement,jdrasil-b100-n1,7199.4468,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",2169.64696736,999.056905
180,networks,atmost1000,34.8490566038,9.0,250.0,29.6116613788,37.0943396226,9.0,250.0,29.3203157746,107,357,9,66.73086,9.4463,326.584,45.6385425571,tw-limprovement,jdrasil-b75-n1,325.9966,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",49.0276726021,57.8986061111
180,networks,atmost1000,32.8796296296,9.0,250.0,32.264594638,36.0740740741,9.0,250.0,32.5681754254,79,345,12,3002.82643,6.8728,7200.33,3181.67851663,tw-limprovement,jdrasil-b125-n1,7199.5495,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3119.27265768,2500.43756944
180,networks,atmost1000,35.0314465409,9.0,250.0,29.676615988,37.0943396226,9.0,250.0,29.3203157746,101,328,8,73.1505194444,4.1137,729.309,117.474199493,tw-limprovement,tcs-b75-n1,728.6349,0.0,-w 1800 -b 75 -r 10,118.458761626,67.9742788889
180,networks,atmost1000,36.0338983051,9.0,250.0,33.4786402637,38.5338983051,9.0,250.0,33.4215965296,82,295,10,2787.02118,4.6453,7200.1,3149.34009869,tw-limprovement,tcs-b100-n1,7199.5441,0.0,-w 1800 -b 100 -r 10,3011.08904416,2249.44838111
180,networks,atmost1000,30.5975609756,9.0,250.0,36.0496433283,33.012195122,9.0,250.0,36.1954549709,58,198,10,4045.15979278,7.2858,7200.41,3368.5147646,tw-limprovement,jdrasil-b150-n1,7199.5002,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3421.06497302,3402.78894333
180,networks,atmost1000,36.4779874214,9.0,250.0,29.6188522923,37.0943396226,9.0,250.0,29.3203157746,50,98,4,20.4222761111,7.7757,87.1764,8.85924892927,tw-limprovement,jdrasil-b50-n1,86.4969,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",10.4878550364,17.5741722222
180,networks,atmost1000,36.5283018868,9.0,250.0,29.2078564341,37.0943396226,9.0,250.0,29.3203157746,51,90,9,5.30337666667,1.7257,50.7623,4.71705470402,tw-limprovement,htd-b150-n1,49.7743,0.0,-w 1800 -b 150 -r 10 -s htd_main,4.89212742947,4.27140722222
