instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,error,wall,wall,solver_args,run
,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amin,std,amax,mean,amax,,count
1a62_graph-pp.dimacs,twlib,atmost200,40.0,40.0,40.0,,41.0,41.0,41.0,,1,1,1,3.0715,3.0715,3.0715,,tw-limprovement,htd-b150-n1,2.348,,0,2.348,2.348,-w 1800 -b 150 -r 10 -s htd_main,1
1a62_graph-pp.dimacs,twlib,atmost200,40.0,40.0,40.0,,41.0,41.0,41.0,,1,1,1,3.6484,3.6484,3.6484,,tw-limprovement,htd-b100-n1,2.2529,,0,2.2529,2.2529,-w 1800 -b 100 -r 10 -s htd_main,1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,9.2972,9.2972,9.2972,,tw-limprovement,tcs-b125-n1,8.6038,,0,8.6038,8.6038,-w 1800 -b 125 -r 10,1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,9.5852,9.5852,9.5852,,tw-limprovement,tcs-b150-n1,8.9526,,0,8.9526,8.9526,-w 1800 -b 150 -r 10,1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,10.4068,10.4068,10.4068,,tw-limprovement,tcs-b100-n1,9.6535,,0,9.6535,9.6535,-w 1800 -b 100 -r 10,1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,11.6396,11.6396,11.6396,,tw-limprovement,tcs-b50-n1,11.0012,,0,11.0012,11.0012,-w 1800 -b 50 -r 10,1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,12.6033,12.6033,12.6033,,tw-limprovement,tcs-b75-n1,12.029,,0,12.029,12.029,-w 1800 -b 75 -r 10,1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,14.7933,14.7933,14.7933,,tw-limprovement,jdrasil-b50-n1,14.2471,,0,14.2471,14.2471,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1a62_graph-pp.dimacs,twlib,atmost200,38.0,38.0,38.0,,41.0,41.0,41.0,,1,3,3,22.8941,22.8941,22.8941,,tw-limprovement,jdrasil-b125-n1,22.2712,,0,22.2712,22.2712,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
