instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1a62_graph-pp.dimacs,twlib,atmost200,1,1,1,3.0715,3.0715,3.0715,,htd-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,1,1,3.6484,3.6484,3.6484,,htd-b100-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,9.2972,9.2972,9.2972,,tcs-b125-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,9.5852,9.5852,9.5852,,tcs-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,10.4068,10.4068,10.4068,,tcs-b100-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,11.6396,11.6396,11.6396,,tcs-b50-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,12.6033,12.6033,12.6033,,tcs-b75-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,14.7933,14.7933,14.7933,,jdrasil-b50-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,22.8941,22.8941,22.8941,,jdrasil-b125-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,26.4686,26.4686,26.4686,,jdrasil-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,26.7342,26.7342,26.7342,,jdrasil-b75t1800-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,28.4372,28.4372,28.4372,,jdrasil-b75-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3,3,33.7933,33.7933,33.7933,,jdrasil-b100-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,9.0726,9.0726,9.0726,,tcs-b150-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,9.594,9.594,9.594,,tcs-b125-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,10.6572,10.6572,10.6572,,tcs-b100-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,10.8895,10.8895,10.8895,,tcs-b75-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,11.0985,11.0985,11.0985,,tcs-b50-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,32.5483,32.5483,32.5483,,jdrasil-b50-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,40.0595,40.0595,40.0595,,jdrasil-b75-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,40.8578,40.8578,40.8578,,jdrasil-b150-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,43.5963,43.5963,43.5963,,jdrasil-b100-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,43.6103,43.6103,43.6103,,jdrasil-b125-n1
1a62_graph.dimacs,twlib,atmost200,1,3,3,44.2041,44.2041,44.2041,,jdrasil-b75t1800-n1
1a6m.edge,networks,atmost200,1,3,3,10.8834,10.8834,10.8834,,tcs-b75-n1
1a6m.edge,networks,atmost200,1,3,3,12.4437,12.4437,12.4437,,tcs-b125-n1
1a6m.edge,networks,atmost200,1,3,3,12.5814,12.5814,12.5814,,tcs-b100-n1
1a6m.edge,networks,atmost200,1,3,3,12.6319,12.6319,12.6319,,tcs-b150-n1
1a6m.edge,networks,atmost200,1,3,3,79.2487,79.2487,79.2487,,jdrasil-b75-n1
1a6m.edge,networks,atmost200,1,3,3,644.472,644.472,644.472,,jdrasil-b75t1800-n1
1a6m.edge,networks,atmost200,1,3,3,662.648,662.648,662.648,,jdrasil-b100-n1
1a6m.edge,networks,atmost200,1,3,3,695.208,695.208,695.208,,jdrasil-b150-n1
1a6m.edge,networks,atmost200,1,3,3,703.205,703.205,703.205,,jdrasil-b125-n1
1a8i.edge,networks,atmost1000,1,4,4,20.5659,20.5659,20.5659,,htd-b150-n1
1a8i.edge,networks,atmost1000,1,4,4,123.841,123.841,123.841,,jdrasil-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,9.8156,9.8156,9.8156,,tcs-b125-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,10.2505,10.2505,10.2505,,tcs-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,1,7,7,10.5299,10.5299,10.5299,,tcs-b75-n1
