instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
1a62_graph-pp.dimacs,twlib,atmost200,40.0,41.0,1,0.025,1.0,3.0715,tw-limprovement,htd-b150-n1,1,1.0,2.348,cobra,,0,-w 1800 -b 150 -r 10 -s htd_main,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-htd-b150-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,40.0,41.0,1,0.025,1.0,3.6484,tw-limprovement,htd-b100-n1,1,1.0,2.2529,cobra,,0,-w 1800 -b 100 -r 10 -s htd_main,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-htd-b100-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,9.2972,tw-limprovement,tcs-b125-n1,1,1.0,8.6038,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b125-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,9.5852,tw-limprovement,tcs-b150-n1,1,1.0,8.9526,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b150-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,10.4068,tw-limprovement,tcs-b100-n1,1,1.0,9.6535,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b100-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,11.6396,tw-limprovement,tcs-b50-n1,1,1.0,11.0012,cobra,,0,-w 1800 -b 50 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b50-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,12.6033,tw-limprovement,tcs-b75-n1,1,1.0,12.029,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b75-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,14.7933,tw-limprovement,jdrasil-b50-n1,1,1.0,14.2471,cobra,,0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b50-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,22.8941,tw-limprovement,jdrasil-b125-n1,1,1.0,22.2712,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b125-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,26.4686,tw-limprovement,jdrasil-b150-n1,1,1.0,25.6798,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b150-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,26.7342,tw-limprovement,jdrasil-b75t1800-n1,1,1.0,25.2972,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,28.4372,tw-limprovement,jdrasil-b75-n1,1,1.0,27.6349,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph-pp.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,33.7933,tw-limprovement,jdrasil-b100-n1,1,1.0,33.2354,cobra,,0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b100-n1/atmost200/1a62_graph-pp.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,9.0726,tw-limprovement,tcs-b150-n1,1,1.0,8.3667,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b150-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,9.594,tw-limprovement,tcs-b125-n1,1,1.0,8.9149,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b125-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,10.6572,tw-limprovement,tcs-b100-n1,1,1.0,10.024,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b100-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,10.8895,tw-limprovement,tcs-b75-n1,1,1.0,10.3416,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b75-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,11.0985,tw-limprovement,tcs-b50-n1,1,1.0,10.5725,cobra,,0,-w 1800 -b 50 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b50-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,32.5483,tw-limprovement,jdrasil-b50-n1,1,1.0,31.6977,cobra,,0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b50-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,40.0595,tw-limprovement,jdrasil-b75-n1,1,1.0,39.2572,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,40.8578,tw-limprovement,jdrasil-b150-n1,1,1.0,40.0043,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b150-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,43.5963,tw-limprovement,jdrasil-b100-n1,1,1.0,42.8989,cobra,,0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b100-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,43.6103,tw-limprovement,jdrasil-b125-n1,1,1.0,42.5544,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b125-n1/atmost200/1a62_graph.dimacs/run1,
1a62_graph.dimacs,twlib,atmost200,38.0,41.0,3,0.0789,1.0,44.2041,tw-limprovement,jdrasil-b75t1800-n1,1,1.0,43.3491,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost200/1a62_graph.dimacs/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,10.8834,tw-limprovement,tcs-b75-n1,1,1.0,10.2669,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b75-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,12.4437,tw-limprovement,tcs-b125-n1,1,1.0,11.8203,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,12.5814,tw-limprovement,tcs-b100-n1,1,1.0,11.9139,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,12.6319,tw-limprovement,tcs-b150-n1,1,1.0,11.9071,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,79.2487,tw-limprovement,jdrasil-b75-n1,1,1.0,78.6589,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,644.472,tw-limprovement,jdrasil-b75t1800-n1,1,1.0,643.6748,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,662.648,tw-limprovement,jdrasil-b100-n1,1,1.0,661.9042,cobra,,0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b100-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,695.208,tw-limprovement,jdrasil-b150-n1,1,1.0,694.4851,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost200/1a6m.edge/run1,
1a6m.edge,networks,atmost200,42.0,45.0,3,0.0714,1.0,703.205,tw-limprovement,jdrasil-b125-n1,1,1.0,702.4111,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost200/1a6m.edge/run1,
1a8i.edge,networks,atmost1000,124.0,128.0,4,0.0323,1.0,20.5659,tw-limprovement,htd-b150-n1,1,1.0,20.0013,cobra,,0,-w 1800 -b 150 -r 10 -s htd_main,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-htd-b150-n1/atmost1000/1a8i.edge/run1,
1a8i.edge,networks,atmost1000,124.0,128.0,4,0.0323,1.0,123.841,tw-limprovement,jdrasil-b150-n1,1,1.0,123.0287,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/1a8i.edge/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,9.8156,tw-limprovement,tcs-b125-n1,1,1.0,9.1085,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b125-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,10.2505,tw-limprovement,tcs-b150-n1,1,1.0,9.543,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b150-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,10.5299,tw-limprovement,tcs-b75-n1,1,1.0,9.9854,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b75-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,12.3984,tw-limprovement,jdrasil-b100-n1,1,1.0,11.8885,cobra,,0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b100-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,14.1823,tw-limprovement,tcs-b100-n1,1,1.0,13.6835,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b100-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,14.2883,tw-limprovement,jdrasil-b150-n1,1,1.0,13.7401,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b150-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,15.3346,tw-limprovement,jdrasil-b75-n1,1,1.0,14.7532,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,19.5054,tw-limprovement,jdrasil-b75t1800-n1,1,1.0,18.7302,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph-pp.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,25.6901,tw-limprovement,jdrasil-b125-n1,1,1.0,24.2304,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b125-n1/atmost200/1aac_graph-pp.dimacs/run1,
1aac_graph.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,10.1055,tw-limprovement,tcs-b125-n1,1,1.0,9.3787,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b125-n1/atmost200/1aac_graph.dimacs/run1,
1aac_graph.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,10.4234,tw-limprovement,tcs-b150-n1,1,1.0,9.616,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b150-n1/atmost200/1aac_graph.dimacs/run1,
1aac_graph.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,11.2583,tw-limprovement,tcs-b75-n1,1,1.0,10.7178,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b75-n1/atmost200/1aac_graph.dimacs/run1,
1aac_graph.dimacs,twlib,atmost200,43.0,50.0,7,0.1628,1.0,11.6894,tw-limprovement,tcs-b100-n1,1,1.0,11.098,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b100-n1/atmost200/1aac_graph.dimacs/run1,
