instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1a62_graph-pp.dimacs,twlib,atmost200,1,3.0715,1.0,htd-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,1,3.6484,1.0,htd-b100-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,9.2972,1.0,tcs-b125-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,9.5852,1.0,tcs-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,10.4068,1.0,tcs-b100-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,11.6396,1.0,tcs-b50-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,12.6033,1.0,tcs-b75-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,14.7933,1.0,jdrasil-b50-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,22.8941,1.0,jdrasil-b125-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,26.4686,1.0,jdrasil-b150-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,26.7342,1.0,jdrasil-b75t1800-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,28.4372,1.0,jdrasil-b75-n1
1a62_graph-pp.dimacs,twlib,atmost200,3,33.7933,1.0,jdrasil-b100-n1
1a62_graph.dimacs,twlib,atmost200,3,9.0726,1.0,tcs-b150-n1
1a62_graph.dimacs,twlib,atmost200,3,9.594,1.0,tcs-b125-n1
1a62_graph.dimacs,twlib,atmost200,3,10.6572,1.0,tcs-b100-n1
1a62_graph.dimacs,twlib,atmost200,3,10.8895,1.0,tcs-b75-n1
1a62_graph.dimacs,twlib,atmost200,3,11.0985,1.0,tcs-b50-n1
1a62_graph.dimacs,twlib,atmost200,3,32.5483,1.0,jdrasil-b50-n1
1a62_graph.dimacs,twlib,atmost200,3,40.0595,1.0,jdrasil-b75-n1
1a62_graph.dimacs,twlib,atmost200,3,40.8578,1.0,jdrasil-b150-n1
1a62_graph.dimacs,twlib,atmost200,3,43.5963,1.0,jdrasil-b100-n1
1a62_graph.dimacs,twlib,atmost200,3,43.6103,1.0,jdrasil-b125-n1
1a62_graph.dimacs,twlib,atmost200,3,44.2041,1.0,jdrasil-b75t1800-n1
1a6m.edge,networks,atmost200,3,10.8834,1.0,tcs-b75-n1
1a6m.edge,networks,atmost200,3,12.4437,1.0,tcs-b125-n1
1a6m.edge,networks,atmost200,3,12.5814,1.0,tcs-b100-n1
1a6m.edge,networks,atmost200,3,12.6319,1.0,tcs-b150-n1
1a6m.edge,networks,atmost200,3,79.2487,1.0,jdrasil-b75-n1
1a6m.edge,networks,atmost200,3,644.472,1.0,jdrasil-b75t1800-n1
1a6m.edge,networks,atmost200,3,662.648,1.0,jdrasil-b100-n1
1a6m.edge,networks,atmost200,3,695.208,1.0,jdrasil-b150-n1
1a6m.edge,networks,atmost200,3,703.205,1.0,jdrasil-b125-n1
1a8i.edge,networks,atmost1000,4,20.5659,1.0,htd-b150-n1
1a8i.edge,networks,atmost1000,4,123.841,1.0,jdrasil-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,9.8156,1.0,tcs-b125-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,10.2505,1.0,tcs-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,10.5299,1.0,tcs-b75-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,12.3984,1.0,jdrasil-b100-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,14.1823,1.0,tcs-b100-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,14.2883,1.0,jdrasil-b150-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,15.3346,1.0,jdrasil-b75-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,19.5054,1.0,jdrasil-b75t1800-n1
1aac_graph-pp.dimacs,twlib,atmost200,7,25.6901,1.0,jdrasil-b125-n1
1aac_graph.dimacs,twlib,atmost200,7,10.1055,1.0,tcs-b125-n1
1aac_graph.dimacs,twlib,atmost200,7,10.4234,1.0,tcs-b150-n1
1aac_graph.dimacs,twlib,atmost200,7,11.2583,1.0,tcs-b75-n1
1aac_graph.dimacs,twlib,atmost200,7,11.6894,1.0,tcs-b100-n1
1aac_graph.dimacs,twlib,atmost200,7,16.3336,1.0,jdrasil-b75-n1
1aac_graph.dimacs,twlib,atmost200,7,17.7498,1.0,jdrasil-b150-n1
1aac_graph.dimacs,twlib,atmost200,7,18.4637,1.0,jdrasil-b100-n1
1aac_graph.dimacs,twlib,atmost200,7,22.5546,1.0,jdrasil-b125-n1
1aac_graph.dimacs,twlib,atmost200,7,23.8374,1.0,jdrasil-b75t1800-n1
1b0n_graph.dimacs,twlib,atmost200,1,2.1624,1.0,htd-b100-n1
1b0n_graph.dimacs,twlib,atmost200,1,3.1627,1.0,htd-b150-n1
1b0n_graph.dimacs,twlib,atmost200,2,8.2724,1.0,tcs-b150-n1
1b0n_graph.dimacs,twlib,atmost200,2,8.3453,1.0,tcs-b125-n1
1b0n_graph.dimacs,twlib,atmost200,2,8.6676,1.0,tcs-b75-n1
1b0n_graph.dimacs,twlib,atmost200,2,10.087,1.0,tcs-b50-n1
1b0n_graph.dimacs,twlib,atmost200,2,13.0788,1.0,tcs-b100-n1
