instance,benchmark_name,tw_range,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solved,solver_config
count,,,count_nonzero,sum,amax,mean,amin,amax,std,sum,
311,networks,"(0, 25]",150,274,7,125.199698392,2.2127,1882.67,342.203401305,311.0,tcs-b75-n1
314,networks,"(0, 25]",150,263,7,72.3854194268,4.985,907.082,130.922511975,314.0,jdrasil-b75-n1
288,networks,"(0, 25]",128,219,6,295.641864931,2.38,3809.53,634.195232319,288.0,tcs-b100-n1
309,networks,"(0, 25]",125,206,4,16.6539404531,5.0889,65.5594,10.3107706045,309.0,jdrasil-b50-n1
268,networks,"(0, 25]",105,204,5,176.202546269,5.1223,5301.84,565.037641471,268.0,jdrasil-b75t1800-n1
267,networks,"(0, 25]",101,192,5,162.895964419,4.6001,7109.83,572.918990176,267.0,jdrasil-b100-n1
256,networks,"(0, 25]",95,173,7,158.06511875,4.863,7095.79,573.009894541,256.0,jdrasil-b150-n1
255,networks,"(0, 25]",93,164,7,150.696146667,5.0458,7035.08,605.776978966,255.0,jdrasil-b125-n1
304,networks,"(0, 25]",100,146,4,7.56707598684,2.1979,57.9085,5.19319739464,304.0,tcs-b50-n1
255,networks,"(0, 25]",95,129,3,146.109402745,2.7867,2161.85,309.129599103,255.0,tcs-b125-n1
250,networks,"(0, 25]",90,116,3,144.7354936,2.9003,2112.76,320.877803472,250.0,tcs-b150-n1
293,networks,"(0, 25]",76,99,4,4.44846518771,1.5365,57.976,4.86254216982,293.0,htd-b150-n1
293,networks,"(0, 25]",57,76,5,4.2617559727,1.5183,58.39,4.71629468806,293.0,htd-b100-n1
290,networks,"(0, 25]",9,10,2,9.93208103448,4.2399,64.2919,5.87531730794,290.0,jdrasil-b25-n1
217,networks,"(25, 50]",192,909,12,611.204725346,11.8685,7032.89,1229.57825323,217.0,jdrasil-b75t1800-n1
206,networks,"(25, 50]",180,849,12,399.658965049,13.6027,5498.04,740.90761883,206.0,jdrasil-b100-n1
197,networks,"(25, 50]",162,673,12,1508.29012081,6.879,7192.3,1814.36716287,197.0,tcs-b100-n1
229,networks,"(25, 50]",175,626,10,73.7477366812,10.7369,311.831,49.4353953521,229.0,jdrasil-b75-n1
228,networks,"(25, 50]",153,511,11,239.649572807,6.9397,3060.3,548.271971398,228.0,tcs-b75-n1
113,networks,"(25, 50]",102,494,15,1279.68270354,11.7971,6368.49,1396.33907455,113.0,jdrasil-b125-n1
50,networks,"(25, 50]",45,209,10,1144.792114,13.1122,5012.22,1449.32665139,50.0,jdrasil-b150-n1
253,networks,"(25, 50]",103,171,5,9.40969288538,1.5733,30.4158,7.29332105521,253.0,htd-b150-n1
253,networks,"(25, 50]",78,132,5,9.71577233202,1.5907,33.9097,7.22498019007,253.0,htd-b100-n1
60,networks,"(25, 50]",38,103,9,2022.53428167,6.291,6656.79,2001.51723934,60.0,tcs-b125-n1
284,networks,"(25, 50]",43,70,4,32.9384704225,8.9072,105.947,25.689452149,284.0,jdrasil-b50-n1
27,networks,"(25, 50]",17,58,7,1447.45237407,6.3341,7082.04,2377.79715723,27.0,tcs-b150-n1
276,networks,"(25, 50]",21,31,4,89.7793177536,7.3574,3279.82,360.511477895,276.0,tcs-b50-n1
54,networks,"(50, 75]",49,429,16,659.023101852,29.7752,1694.74,517.112661998,54.0,jdrasil-b125-n1
31,networks,"(50, 75]",27,282,20,1624.4810129,33.864,7195.95,1786.91916075,31.0,jdrasil-b150-n1
57,networks,"(50, 75]",33,203,13,153.056375439,23.9884,1216.07,178.588454409,57.0,jdrasil-b75t1800-n1
57,networks,"(50, 75]",33,203,13,154.040787719,20.8608,1231.41,181.925080513,57.0,jdrasil-b100-n1
49,networks,"(50, 75]",25,167,15,217.287020408,13.9611,1500.48,421.637619539,49.0,tcs-b100-n1
25,networks,"(50, 75]",23,155,19,1244.704856,11.7224,5854.98,1705.18601168,25.0,tcs-b125-n1
14,networks,"(50, 75]",12,57,9,2036.56761429,12.2366,6627.97,3004.37199317,14.0,tcs-b150-n1
77,networks,"(50, 75]",20,53,6,7.45006103896,2.1089,20.0856,2.95600611602,77.0,htd-b150-n1
77,networks,"(50, 75]",15,34,7,8.18298701299,2.0858,20.1815,2.91361236726,77.0,htd-b100-n1
74,networks,"(50, 75]",3,5,2,25.3252945946,12.2806,38.9989,5.4709734627,74.0,tcs-b75-n1
75,networks,"(50, 75]",2,3,2,22.911744,9.0347,42.8341,5.34120153094,75.0,jdrasil-b75-n1
19,networks,"(75, 100]",17,206,18,797.080526316,38.9831,4056.35,862.716188356,19.0,jdrasil-b150-n1
17,networks,"(75, 100]",12,68,14,1455.80072353,53.0331,5718.54,2101.02069632,17.0,tcs-b150-n1
26,networks,"(75, 100]",5,21,8,97.4565692308,31.868,406.225,108.395072317,26.0,jdrasil-b125-n1
26,networks,"(75, 100]",5,20,7,113.301373077,35.9491,1268.37,237.990651074,26.0,tcs-b125-n1
38,networks,"(75, 100]",7,18,9,12.3733394737,4.4849,21.4729,3.17676939235,38.0,htd-b150-n1
19,networks,"(100, 125]",1,4,4,17.0767421053,11.3924,21.0397,3.07423326345,19.0,htd-b150-n1
17,networks,"(100, 125]",1,4,4,47.1975,37.8039,123.841,19.9805618557,17.0,jdrasil-b150-n1
38,pace2016,"(0, 25]",4,9,5,7.03824210526,1.3286,99.1258,16.7627167938,38.0,tcs-b75-n1
38,pace2016,"(0, 25]",4,9,5,7.05821052632,3.8527,19.5176,3.24771282521,38.0,jdrasil-b50-n1
37,pace2016,"(0, 25]",4,9,5,7.87218918919,1.9475,104.463,17.7659575808,37.0,tcs-b125-n1
37,pace2016,"(0, 25]",4,9,5,8.07487297297,1.6871,113.144,19.1146135221,37.0,tcs-b150-n1
38,pace2016,"(0, 25]",4,9,5,12.8069815789,4.5258,166.746,25.8827617928,38.0,jdrasil-b75-n1
38,pace2016,"(0, 25]",4,9,5,13.5578157895,4.4732,181.175,29.6453029766,38.0,jdrasil-b75t1800-n1
38,pace2016,"(0, 25]",4,9,5,14.2160947368,1.9783,256.446,43.7379166827,38.0,tcs-b100-n1
