,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
6230,1a8i.edge,networks,atmost1000,124.0,128.0,4,0.0323,1.0,123.841,tw-limprovement,jdrasil-b150-n1,6230,1,1.0,123.0287,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/1a8i.edge/run1,
2381,1cb6.edge,networks,atmost1000,80.0,83.0,3,0.0375,1.0,406.225,tw-limprovement,jdrasil-b125-n1,2381,1,1.0,405.4021,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/1cb6.edge/run1,
31025,1nr0.edge,networks,atmost1000,78.0,92.0,14,0.1795,1.0,955.293,tw-limprovement,tcs-b150-n1,31025,1,1.0,954.4945,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost1000/1nr0.edge/run1,
30976,1vom.edge,networks,atmost1000,91.0,98.0,7,0.0769,1.0,122.818,tw-limprovement,tcs-b150-n1,30976,1,1.0,122.085,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost1000/1vom.edge/run1,
14485,1xwl.edge,networks,atmost1000,64.0,71.0,7,0.1094,1.0,714.437,tw-limprovement,tcs-b125-n1,14485,1,1.0,713.6605,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/1xwl.edge/run1,
2436,BN_69.edge,networks,atmost1000,29.0,31.0,2,0.069,1.0,267.002,tw-limprovement,jdrasil-b125-n1,2436,1,1.0,266.1325,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/BN_69.edge/run1,
2392,Promedas_41.edge,networks,atmost1000,38.0,44.0,6,0.1579,1.0,1195.41,tw-limprovement,jdrasil-b125-n1,2392,1,1.0,1194.551,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_41.edge/run1,
2287,Promedas_42.edge,networks,atmost1000,54.0,66.0,12,0.2222,1.0,411.024,tw-limprovement,jdrasil-b125-n1,2287,1,1.0,410.0564,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_42.edge/run1,
12374,Promedas_43.edge,networks,atmost1000,29.0,32.0,3,0.1034,1.0,1734.74,tw-limprovement,jdrasil-b75t1800-n1,12374,1,1.0,1733.8612,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/Promedas_43.edge/run1,
2459,Promedas_45.edge,networks,atmost1000,29.0,37.0,8,0.2759,1.0,787.43,tw-limprovement,jdrasil-b125-n1,2459,1,1.0,786.4698,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_45.edge/run1,
10323,Promedas_46.edge,networks,atmost1000,34.0,35.0,1,0.0294,1.0,5696.61,tw-limprovement,tcs-b100-n1,10323,1,1.0,5695.8503,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_46.edge/run1,
14361,Promedas_47.edge,networks,atmost1000,44.0,45.0,1,0.0227,1.0,1628.13,tw-limprovement,tcs-b125-n1,14361,1,1.0,1627.3307,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/Promedas_47.edge/run1,
2296,Promedas_48.edge,networks,atmost1000,44.0,55.0,11,0.25,1.0,577.311,tw-limprovement,jdrasil-b125-n1,2296,1,1.0,576.4705,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_48.edge/run1,
6288,Promedas_49.edge,networks,atmost1000,28.0,34.0,6,0.2143,1.0,1323.63,tw-limprovement,jdrasil-b150-n1,6288,1,1.0,1322.9832,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedas_49.edge/run1,
