,instance,solver_config,abs_improvement
6230,1a8i.edge,jdrasil-b150-n1,4
2381,1cb6.edge,jdrasil-b125-n1,3
31025,1nr0.edge,tcs-b150-n1,14
30976,1vom.edge,tcs-b150-n1,7
14485,1xwl.edge,tcs-b125-n1,7
2436,BN_69.edge,jdrasil-b125-n1,2
2392,Promedas_41.edge,jdrasil-b125-n1,6
2287,Promedas_42.edge,jdrasil-b125-n1,12
12374,Promedas_43.edge,jdrasil-b75t1800-n1,3
2459,Promedas_45.edge,jdrasil-b125-n1,8
10323,Promedas_46.edge,tcs-b100-n1,1
14361,Promedas_47.edge,tcs-b125-n1,1
2296,Promedas_48.edge,jdrasil-b125-n1,11
6288,Promedas_49.edge,jdrasil-b150-n1,6
6316,Promedas_50.edge,jdrasil-b150-n1,5
28741,Promedas_51.edge,jdrasil-b100-n1,5
12342,Promedas_55.edge,jdrasil-b75t1800-n1,8
10230,Promedas_56.edge,tcs-b100-n1,8
29854,Promedas_57.edge,tcs-b75-n1,8
2379,Promedas_59.edge,jdrasil-b125-n1,7
10152,Promedas_61.edge,tcs-b100-n1,5
2307,Promedas_62.edge,jdrasil-b125-n1,6
12395,Promedas_63.edge,jdrasil-b75t1800-n1,6
10170,Promedas_64.edge,tcs-b100-n1,6
7537,Promedas_65.edge,jdrasil-b50-n1,3
2351,Promedas_66.edge,jdrasil-b125-n1,5
22404,Promedas_69.edge,jdrasil-b75-n1,7
14333,Promedas_70.edge,tcs-b125-n1,3
2416,Promedas_71.edge,jdrasil-b125-n1,1
14479,Promedus_12.edge,tcs-b125-n1,3
2390,Promedus_13.edge,jdrasil-b125-n1,1
2425,Promedus_16.edge,jdrasil-b125-n1,2
6268,Promedus_17.edge,jdrasil-b150-n1,1
29734,Promedus_19.edge,tcs-b75-n1,3
2342,Promedus_20.edge,jdrasil-b125-n1,3
22510,Promedus_23.edge,jdrasil-b75-n1,4
6295,Promedus_38.edge,jdrasil-b150-n1,7
2400,blockmap_05_02-0000.edge,jdrasil-b125-n1,1
2457,blockmap_05_02-0001.edge,jdrasil-b125-n1,1
2306,blockmap_05_02-0002.edge,jdrasil-b125-n1,1
2301,blockmap_05_02-0003.edge,jdrasil-b125-n1,1
2391,blockmap_05_02-0004.edge,jdrasil-b125-n1,1
2394,blockmap_05_02-0005.edge,jdrasil-b125-n1,1
2329,blockmap_05_02-0006.edge,jdrasil-b125-n1,1
2292,blockmap_05_02-0007.edge,jdrasil-b125-n1,1
2341,blockmap_05_02-0008.edge,jdrasil-b125-n1,1
2410,blockmap_05_02-0009.edge,jdrasil-b125-n1,1
2314,blockmap_05_02-0010.edge,jdrasil-b125-n1,1
2443,blockmap_05_02-0011.edge,jdrasil-b125-n1,1
2419,blockmap_05_02-0012.edge,jdrasil-b125-n1,1
2411,blockmap_05_02-0013.edge,jdrasil-b125-n1,1
2332,blockmap_05_02-0014.edge,jdrasil-b125-n1,1
2420,blockmap_05_02-0015.edge,jdrasil-b125-n1,1
2369,c1908.isc.cnf.edge,jdrasil-b125-n1,3
2350,linkage_19.edge,jdrasil-b125-n1,2
2299,linkage_22.edge,jdrasil-b125-n1,3
2337,linkage_27.edge,jdrasil-b125-n1,3
2343,log-1.cnf.edge,jdrasil-b125-n1,2
2463,or_chain_103.fg.edge,jdrasil-b125-n1,2
12444,or_chain_104.fg.edge,jdrasil-b75t1800-n1,8
12355,or_chain_107.fg.edge,jdrasil-b75t1800-n1,5
2358,or_chain_11.fg.edge,jdrasil-b125-n1,12
22423,or_chain_114.fg.edge,jdrasil-b75-n1,6
10244,or_chain_118.fg.edge,tcs-b100-n1,10
2348,or_chain_123.fg.edge,jdrasil-b125-n1,9
2357,or_chain_125.fg.edge,jdrasil-b125-n1,11
10163,or_chain_131.fg.edge,tcs-b100-n1,4
2325,or_chain_132.fg.edge,jdrasil-b125-n1,2
6198,or_chain_136.fg.edge,jdrasil-b150-n1,8
12456,or_chain_138.fg.edge,jdrasil-b75t1800-n1,3
12334,or_chain_141.fg.edge,jdrasil-b75t1800-n1,6
6261,or_chain_142.fg.edge,jdrasil-b150-n1,5
2309,or_chain_143.fg.edge,jdrasil-b125-n1,9
2382,or_chain_15.fg.edge,jdrasil-b125-n1,6
12367,or_chain_150.fg.edge,jdrasil-b75t1800-n1,3
7525,or_chain_153.fg.edge,jdrasil-b50-n1,1
2336,or_chain_155.fg.edge,jdrasil-b125-n1,5
2347,or_chain_156.fg.edge,jdrasil-b125-n1,9
2396,or_chain_161.fg.edge,jdrasil-b125-n1,7
14329,or_chain_17.fg.edge,tcs-b125-n1,3
2375,or_chain_172.fg.edge,jdrasil-b125-n1,8
2311,or_chain_18.fg.edge,jdrasil-b125-n1,1
10298,or_chain_181.fg.edge,tcs-b100-n1,9
10256,or_chain_189.fg.edge,tcs-b100-n1,7
