,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
2084,move.sh,networks,.,,,0,0.0,,0.7937,tw-limprovement,jdrasil-b125-n1,2084,0,1.0,0.0,cobra,,68,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/./move.sh/run1,
6230,1a8i.edge,networks,atmost1000,124.0,128.0,4,0.0323,1.0,123.841,tw-limprovement,jdrasil-b150-n1,6230,1,1.0,123.0287,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/1a8i.edge/run1,
2381,1cb6.edge,networks,atmost1000,80.0,83.0,3,0.0375,1.0,406.225,tw-limprovement,jdrasil-b125-n1,2381,1,1.0,405.4021,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/1cb6.edge/run1,
2322,1gsk.edge,networks,atmost1000,111.0,111.0,0,0.0,1.0,39.9875,tw-limprovement,jdrasil-b125-n1,2322,1,1.0,39.0845,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/1gsk.edge/run1,
2340,1kmo.edge,networks,atmost1000,140.0,140.0,0,0.0,1.0,52.0039,tw-limprovement,jdrasil-b125-n1,2340,1,1.0,50.5952,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/1kmo.edge/run1,
31025,1nr0.edge,networks,atmost1000,78.0,92.0,14,0.1795,1.0,955.293,tw-limprovement,tcs-b150-n1,31025,1,1.0,954.4945,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost1000/1nr0.edge/run1,
30976,1vom.edge,networks,atmost1000,91.0,98.0,7,0.0769,1.0,122.818,tw-limprovement,tcs-b150-n1,30976,1,1.0,122.085,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost1000/1vom.edge/run1,
14485,1xwl.edge,networks,atmost1000,64.0,71.0,7,0.1094,1.0,714.437,tw-limprovement,tcs-b125-n1,14485,1,1.0,713.6605,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost1000/1xwl.edge/run1,
2417,2bitadd_11.cnf.edge,networks,atmost1000,,,0,0.0,,37.4785,tw-limprovement,jdrasil-b125-n1,2417,0,1.0,0.0,cobra,,32,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/2bitadd_11.cnf.edge/run1,
2436,BN_69.edge,networks,atmost1000,29.0,31.0,2,0.069,1.0,267.002,tw-limprovement,jdrasil-b125-n1,2436,1,1.0,266.1325,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/BN_69.edge/run1,
2356,BN_74.edge,networks,atmost1000,27.0,27.0,0,0.0,1.0,129.875,tw-limprovement,jdrasil-b125-n1,2356,1,1.0,128.811,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/BN_74.edge/run1,
2392,Promedas_41.edge,networks,atmost1000,38.0,44.0,6,0.1579,1.0,1195.41,tw-limprovement,jdrasil-b125-n1,2392,1,1.0,1194.551,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_41.edge/run1,
2287,Promedas_42.edge,networks,atmost1000,54.0,66.0,12,0.2222,1.0,411.024,tw-limprovement,jdrasil-b125-n1,2287,1,1.0,410.0564,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_42.edge/run1,
12374,Promedas_43.edge,networks,atmost1000,29.0,32.0,3,0.1034,1.0,1734.74,tw-limprovement,jdrasil-b75t1800-n1,12374,1,1.0,1733.8612,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/Promedas_43.edge/run1,
2365,Promedas_44.edge,networks,atmost1000,,,0,0.0,,7200.33,tw-limprovement,jdrasil-b125-n1,2365,0,1.0,0.0,cobra,,33,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_44.edge/run1,
2459,Promedas_45.edge,networks,atmost1000,29.0,37.0,8,0.2759,1.0,787.43,tw-limprovement,jdrasil-b125-n1,2459,1,1.0,786.4698,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedas_45.edge/run1,
10323,Promedas_46.edge,networks,atmost1000,34.0,35.0,1,0.0294,1.0,5696.61,tw-limprovement,tcs-b100-n1,10323,1,1.0,5695.8503,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/Promedas_46.edge/run1,
